Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,616080.0,560.0,21.0,11.0,53576.0,14480.0,0.500909
0.5,1080000.0,150520.0,70.0,18.0,137560.0,27512.0,0.636715
0.6,1250760.0,0.0,92.0,18.0,189688.0,27512.0,0.5
0.7,970920.0,270000.0,93.0,24.0,189688.0,44888.0,0.758125
0.8,1251560.0,0.0,92.0,36.0,189688.0,53576.0,0.5
0.9,702960.0,540000.0,98.0,22.0,189688.0,68056.0,0.983102
1.0,1245040.0,0.0,92.0,47.0,189688.0,69504.0,0.5
1.1,751120.0,510000.0,102.0,23.0,189688.0,69504.0,0.964734
1.2,1093560.0,150000.0,53.0,49.0,126536.0,72400.0,0.634634
1.3,499880.0,690000.0,46.0,12.0,65623.0,71078.0,0.9751059999999999
1.4,988640.0,150000.0,82.0,38.0,136391.0,64240.0,0.648309
1.5,855000.0,390000.0,104.0,20.0,188519.0,53576.0,0.87758
1.6,1124880.0,125800.0,99.0,40.0,188519.0,55024.0,0.610453
1.7,945680.0,300000.0,106.0,25.0,188519.0,56472.0,0.788226
1.8,991560.0,255000.0,98.0,33.0,188519.0,57920.0,0.7412170000000001
1.9,981680.0,270000.0,107.0,26.0,188519.0,59368.0,0.755696
2.0,949920.0,285000.0,107.0,32.0,188519.0,60816.0,0.775249
2.1,1046240.0,210000.0,107.0,35.0,188519.0,62264.0,0.692945
2.2,928400.0,315000.0,104.0,35.0,188519.0,63712.0,0.804266
2.3,1031240.0,225000.0,104.0,38.0,188519.0,63712.0,0.708269
2.4,900360.0,345000.0,105.0,32.0,188519.0,65160.0,0.8341220000000001
2.5,1004600.0,240000.0,101.0,36.0,188519.0,65160.0,0.7260019999999999
2.6,900360.0,345000.0,107.0,32.0,188519.0,66608.0,0.8341220000000001
2.7,971440.0,285000.0,105.0,36.0,188519.0,68056.0,0.770129
2.8,976560.0,270000.0,106.0,36.0,188519.0,68056.0,0.756847
2.9,923640.0,315000.0,105.0,38.0,188519.0,69504.0,0.805508
3.0,959800.0,300000.0,106.0,36.0,188519.0,69504.0,0.784746
3.1,928400.0,315000.0,105.0,33.0,188519.0,69504.0,0.804266
3.2,945160.0,300000.0,107.0,36.0,188519.0,70952.0,0.788356
3.3,928400.0,315000.0,108.0,37.0,188519.0,70952.0,0.804266
